Domain, Image, Entropy
1, 739, 2.233895778656006
1, 740, 1.918914556503296
1, 741, 2.8783857822418213
1, 742, 2.27363657951355
1, 743, 2.19761061668396
1, 744, 0.9722859859466553
1, 745, 1.405907154083252
1, 746, 2.109013795852661
1, 747, 2.3537235260009766
1, 748, 2.044520378112793
1, 749, 2.1852142810821533
1, 750, 2.2669742107391357
1, 751, 2.0592408180236816
1, 752, 2.1435234546661377
1, 753, 2.4195382595062256
1, 754, 3.182722568511963
1, 755, 2.3911948204040527
1, 756, 1.7272329330444336
1, 757, 1.5239548683166504
1, 758, 1.9076268672943115
1, 759, 1.7173190116882324
1, 760, 2.473259449005127
1, 761, 2.3989980220794678
1, 762, 2.5145556926727295
1, 763, 2.988832473754883
1, 764, 2.784040927886963
1, 765, 3.0263078212738037
1, 766, 2.6073553562164307
1, 767, 1.2664697170257568
1, 768, 1.8275810480117798
1, 769, 2.828641176223755
1, 770, 2.7207741737365723
1, 771, 1.6331150531768799
1, 772, 3.2397735118865967
1, 773, 3.1629552841186523
1, 774, 1.9804939031600952
1, 775, 2.3050785064697266
1, 776, 1.9848155975341797
1, 777, 2.888209342956543
1, 778, 2.979158878326416
1, 779, 3.1977128982543945
1, 780, 2.938415288925171
1, 781, 3.2169761657714844
1, 782, 3.5117807388305664
1, 783, 2.637575149536133
1, 784, 2.8344099521636963
1, 785, 3.4621365070343018
1, 786, 2.305807590484619
1, 787, 2.791059970855713
1, 788, 2.361076593399048
1, 789, 2.6593799591064453
1, 790, 2.445612907409668
1, 791, 2.531702995300293
1, 792, 1.2769807577133179
1, 793, 2.836693048477173
1, 794, 2.3968262672424316
1, 795, 3.4213738441467285
1, 796, 1.7326875925064087
1, 797, 1.6801815032958984
1, 798, 2.9609932899475098
1, 799, 2.103473663330078
1, 800, 1.087754249572754
1, 801, 0.7837659120559692
1, 802, 1.3265838623046875
1, 803, 1.8459727764129639
1, 804, 1.6536388397216797
1, 805, 3.4558939933776855
1, 806, 1.2369062900543213
1, 807, 2.6695053577423096
1, 808, 1.2120060920715332
1, 809, 2.3434829711914062
1, 810, 1.3244612216949463
1, 811, 0.9152480363845825
1, 812, 2.6923341751098633
1, 813, 1.1467407941818237
1, 814, 1.805549144744873
1, 815, 1.06373131275177
1, 816, 1.1088019609451294
1, 817, 1.445756435394287
1, 818, 0.8786978125572205
1, 819, 1.5918679237365723
1, 820, 3.1402835845947266
1, 821, 1.003326416015625
1, 822, 1.0039865970611572
1, 823, 0.8976199626922607
1, 824, 1.4296433925628662
1, 825, 2.676039218902588
1, 826, 2.021822214126587
1, 827, 1.0406700372695923
1, 828, 1.1097197532653809
1, 829, 3.404940605163574
1, 830, 0.5040993690490723
1, 831, 1.6787066459655762
1, 832, 1.0090124607086182
1, 833, 1.3605053424835205
1, 834, 2.031221389770508
1, 835, 3.5795888900756836
1, 836, 2.5684523582458496
1, 837, 0.5956978797912598
1, 838, 1.892914056777954
1, 839, 0.9669438600540161
1, 840, 0.9356263279914856
1, 841, 1.0527236461639404
1, 842, 0.5208408832550049
1, 843, 0.9172521233558655
1, 844, 0.44420838356018066
1, 845, 1.2176837921142578
1, 846, 1.995384931564331
1, 847, 0.5569977164268494
1, 848, 3.1383020877838135
1, 849, 1.6557984352111816
1, 850, 2.647275686264038
1, 851, 1.1823678016662598
1, 852, 0.9880023002624512
1, 853, 0.8030638694763184
1, 854, 0.734764039516449
1, 855, 0.6891666650772095
1, 856, 2.8010244369506836
1, 857, 0.995101809501648
1, 858, 1.1965444087982178
1, 859, 2.0607712268829346
1, 860, 1.1968477964401245
1, 861, 0.9253327250480652
1, 862, 0.9280833005905151
1, 863, 2.7393312454223633
1, 864, 2.026958703994751
1, 865, 1.3540520668029785
1, 866, 0.9232114553451538
1, 867, 0.9780567288398743
1, 868, 2.705109119415283
1, 869, 0.996281623840332
1, 870, 1.0879979133605957
1, 871, 0.7628604173660278
1, 872, 0.9663010239601135
1, 873, 1.1428420543670654
1, 874, 1.6096042394638062
1, 875, 2.6116955280303955
1, 876, 1.3540520668029785
1, 877, 0.8335955142974854
1, 878, 0.9758642315864563
1, 879, 1.5644563436508179
1, 880, 2.1134181022644043
1, 881, 1.240727186203003
1, 882, 1.7663376331329346
1, 883, 1.0632432699203491
1, 884, 1.8018524646759033
1, 885, 1.979928731918335
1, 886, 2.049776554107666
1, 887, 2.870295524597168
1, 888, 3.116291046142578
1, 889, 2.403602123260498
1, 890, 3.296619415283203
1, 891, 2.805589199066162
1, 892, 0.44420838356018066
1, 893, 2.374539375305176
1, 894, 1.2386693954467773
1, 895, 2.5288197994232178
1, 896, 2.4102981090545654
1, 897, 1.218132734298706
1, 898, 2.8869524002075195
1, 899, 2.7177727222442627
1, 900, 1.4552384614944458
1, 901, 1.6227726936340332
1, 902, 2.032686948776245
1, 903, 0.98078453540802
1, 904, 1.4605190753936768
1, 905, 3.1431427001953125
1, 906, 0.9378266930580139
1, 907, 2.9748311042785645
1, 908, 3.387971878051758
1, 909, 3.02406644821167
1, 910, 1.265803575515747
1, 911, 2.648305892944336
1, 912, 1.7525745630264282
1, 913, 0.6572386026382446
1, 914, 1.776047945022583
1, 915, 3.2566416263580322
1, 916, 1.7414233684539795
1, 917, 0.5746085047721863
1, 918, 3.2155990600585938
1, 919, 1.8492741584777832
1, 920, 2.3203258514404297
1, 921, 1.7081265449523926
1, 922, 3.0419888496398926
1, 923, 1.3172409534454346
1, 924, 2.0836033821105957
1, 925, 1.5449352264404297
1, 926, 0.7684630155563354
1, 927, 2.7710940837860107
1, 928, 0.6326171159744263
1, 929, 2.9494166374206543
1, 930, 2.0417799949645996
1, 931, 3.1424403190612793
1, 932, 2.2246153354644775
1, 933, 0.918665885925293
1, 934, 3.163106918334961
1, 935, 2.270758628845215
1, 936, 2.117244243621826
1, 937, 2.5817649364471436
1, 938, 2.2659716606140137
1, 939, 2.4583301544189453
1, 940, 1.987406849861145
1, 941, 2.9948668479919434
1, 942, 1.5040972232818604
1, 943, 2.2864041328430176
1, 944, 2.4330081939697266
1, 945, 2.6773035526275635
1, 946, 3.178548812866211
1, 947, 2.133943557739258
